name,birth date,party,university,age
Oliver Heald,1954-12-15,Conservative,"Pembroke College, Cambridge",68.5
Rachel Hopkins,1972-03-30,Labour,,51.2
Tom Hunt,1988-08-31,Conservative,"Ely, Cambridgeshire",34.8
Bernard Jenkin,1959-04-09,Deputy Chairman of the Conservative Party,"Corpus Christi College, Cambridge",64.2
Eleanor Laing,1958-02-01,Conservative,University of Edinburgh,65.4
Brandon Lewis,1971-06-20,Chairman of the Conservative Party,University of Buckingham,52.0
Clive Lewis,1971-09-11,Labour,University of Bradford,51.7
Julie Marson,1965-03-23,Conservative,,58.2
Jerome Mayhew,1970-04-11,Conservative,University of Edinburgh,53.2
Stephen McPartland,1976-08-09,Conservative,University of Liverpool,46.8
Stephen Metcalfe,1966-01-09,Conservative,,57.4
Gagan Mohindra,1978-04-07,Conservative,,45.2
Sarah Owen,1983-01-11,Labour,,40.4
Priti Patel,1972-03-29,Conservative,University of Keele,51.2
Mike Penning,1957-09-28,Conservative,,65.7
Dan Poulter,1978-10-30,Conservative,University of Bristol,44.6
Will Quince,1982-12-27,Conservative,Aberystwyth University,40.4
Dean Russell,1976-05-08,Conservative,De Montfort University,47.1
Andrew Selous,1962-04-27,Conservative,London School of Economics,61.1
Grant Shapps,1968-09-14,Chairman of the Conservative Party,Manchester Metropolitan University,54.7
Chloe Smith,1982-05-17,Conservative,University of York,41.0
Liz Truss,1975-07-26,Leader of the Conservative Party,"Merton College, Oxford",47.9
Shailesh Vara,1960-09-04,Conservative,Brunel University,62.8
Charles Walker,1967-09-11,Conservative,University of Oregon,55.7
Giles Watling,1953-02-18,Conservative,,70.3
John Whittingdale,1959-10-16,Conservative,University College London,63.6
James Wild,1977-01-05,Conservative,Queen Mary University of London,46.4
Mohammad Yasin,1971-10-15,Richard Fuller,,51.6
Daniel Zeichner,1956-11-09,Labour,"King's College, Cambridge",66.6
Lee Anderson,1967-01-06,Deputy Chairman of the Conservative Party,,56.4
Edward Argar,1977-12-09,Conservative,"Oriel College, Oxford",45.5
Jonathan Ashworth,1978-10-14,National Executive Committee,Durham University,44.6
Victoria Atkins,1976-03-22,Conservative,"Corpus Christi College,Cambridge",47.2
Margaret Beckett,1943-01-15,John Smith,University of Manchester Institute of Science and Technology,80.4
Peter Bone,1952-10-19,Conservative,,70.6
Ben Bradley,1989-12-11,Vice Chairman of the Conservative Party for Youth,Nottingham Trent University,33.5
Andrew Bridgen,1964-10-28,David Taylor,University of Nottingham,58.6
Brendan Clarke-Smith,1980-08-17,Conservative,Nottingham Trent University,42.8
Alberto Costa,1971-11-13,Conservative,University of Glasgow,51.6
Gareth Davies,1984-03-31,Conservative,University of Nottingham,39.2
Sarah Dines,1965-05-27,Conservative,Brunel University London,58.0
Ruth Edwards,1984-05-11,Conservative,University of Bristol,39.1
Michael Ellis,1967-10-13,Conservative,University of Buckingham,55.7
Luke Evans,1983-01-10,Conservative,University of Birmingham,40.4
Mark Fletcher,1985-09-29,Conservative,"Jesus College, Cambridge",37.7
Lilian Greenwood,1966-03-26,Opposition Deputy Chief Whip,"St Catharine's College,Cambridge",57.2
John Hayes,1958-06-23,Conservative,University of Nottingham,65.0
Chris Heaton-Harris,1967-11-28,Chief Whip of the House of Commons,,55.5
Darren Henry,1968-08-04,Conservative,University of Lincoln,54.8
Philip Hollobone,1964-11-07,Conservative,"Lady Margaret Hall, Oxford",58.6
Jane Hunt,1966-06-04,"Parliamentary Under-Secretary of State for Small Business, Consumers and Labour Markets",,57.0
Robert Jenrick,1982-01-09,Conservative,"St John's College, Cambridge",41.4
Caroline Johnson,1977-12-31,Conservative,Newcastle University,45.4
Alicia Kearns,1987-11-11,Conservative,"Fitzwilliam College, Cambridge",35.6
Liz Kendall,1971-06-11,Labour,"Queens' College, Cambridge",52.0
Robert Largan,1987-05-29,Conservative,University of Manchester,36.0
Pauline Latham,1948-02-04,Conservative,,75.4
Andrea Leadsom,1963-05-13,Conservative,University of Warwick,60.1
Edward Leigh,1950-07-20,Conservative,"University College, Durham",72.9
Andrew Lewer,1971-07-18,Conservative,Newcastle University,51.9
Karl McCartney,1968-10-25,Conservative,"University of Wales, Lampeter",54.6
Nigel Mills,,Conservative,Newcastle University,
Alex Norris,1984-02-04,Labour,University of Nottingham,39.3
Neil O'Brien,1978-11-06,Conservative,"Christ Church, Oxford",44.6
Toby Perkins,1970-08-12,Labour,,52.8
Tom Pursglove,1988-11-05,Vice Chairman of the Conservative Party for Youth,Queen Mary University of London,34.6
Lee Rowley,1980-09-11,Deputy Chairman of the Conservative Party,"Lincoln College, Oxford",42.7
Tom Randall,1981-07-04,Conservative,University of Oxford,41.9
Amanda Solloway,1961-06-06,Conservative,,62.0
Mark Spencer,1970-01-20,Chief Whip of the House of Commons,,53.4
Maggie Throup,1957-01-27,Conservative,University of Manchester,66.4
Matthew Warman,1981-09-01,Conservative,Durham University,41.8
Claudia Webbe,1965-03-08,Independent,De Montfort University,58.3
Heather Wheeler,1959-05-14,Conservative,,64.1
Nadia Whittome,1996-08-29,Labour,,26.8
Diane Abbott,1953-09-27,Labour Party,"Newnham College, Cambridge",69.7
Nickie Aiken,1969-02-04,Conservative,University of Exeter,54.3
Rushanara Ali,1975-03-14,Labour,"St John's College, Oxford",48.2
Rosena Allin-Khan,1978-05-10,Labour,Brunel University,45.1
Fleur Anderson,1971-02-06,Labour,University of York,52.3
Gareth Bacon,1972-04-07,Leader of the Conservative Party,University of Kent,51.2
Apsana Begum,1990-05-25,Labour,Queen Mary University of London,33.0
Bob Blackman,1956-04-26,Conservative,University of Liverpool,67.1
Lyn Brown,1960-04-13,Labour,University of Roehampton,63.2
Felicity Buchan,,Conservative,"Christ Church, Oxford",
Karen Buck,1958-08-30,Labour,London School of Economics,64.8
Dawn Butler,1969-11-03,Labour,,53.6
Ruth Cadbury,1959-05-14,Labour,University of Salford,64.1
Bambos Charalambous,1967-12-02,Labour,Liverpool John Moores University,55.5
Feryal Clark,1979-01-06,Labour,,44.4
Elliot Colburn,1992-08-06,Conservative,Aberystwyth University,30.8
Jeremy Corbyn,1949-05-26,Leader of the Labour Party,North London Polytechnic,74.0
Neil Coyle,1978-12-30,Labour,University of Hull,44.4
Stella Creasy,1977-04-05,Labour and Co-operative,University of Cambridge,46.2
Jon Cruddas,1962-04-07,Labour Party,University of Warwick,61.2
John Cryer,1964-04-11,Parliamentary Labour Party,University of Hertfordshire,59.2
Janet Daby,1970-12-15,Labour,London School of Economics,52.5
Ed Davey,1965-12-25,Leader of the Liberal Democrats,"Jesus College, Oxford",57.5
Marsha de Cordova,1976-01-23,Labour,London South Bank University,47.4
Iain Duncan Smith,1954-04-09,Leader of the Conservative Party,,69.2
Clive Efford,1958-07-10,Labour,,64.9
Florence Eshalomi,1980-09-18,Labour Co-op,Middlesex University,42.7
David Evennett,1949-06-03,Conservative Party,London School of Economics,74.0
Vicky Foxcroft,1977-03-09,Labour,De Montfort University,46.2
Mike Freer,1960-05-29,Conservative,,63.0
Louie French,1988-02-14,Conservative,,35.3
Barry Gardiner,1957-03-10,Labour,University of St Andrews,66.3
Stephen Hammond,1962-02-04,Conservative Party,Queen Mary University of London,61.3
Greg Hands,1965-11-14,Chairman of the Conservative Party,"Robinson College, Cambridge",57.6
Harriet Harman,1950-07-30,Deputy Leader of the Labour Party,University of York,72.9
Helen Hayes,1974-08-08,Labour,"Balliol College, Oxford",48.8
Meg Hillier,1969-02-14,Labour and Co-operative,"St Hilda's College, Oxford",54.3
Margaret Hodge,1944-09-08,Labour,London School of Economics,78.8
Rupa Huq,1972-04-02,Labour,"Newnham College, Cambridge",51.2
Boris Johnson,1964-06-19,Leader of the Conservative Party,"Balliol College, Oxford",59.0
Sarah Jones,1972-12-20,Labour,University of Durham,50.5
David Lammy,1972-07-19,Labour,SOAS University of London,50.9
Julia Lopez,,Conservative,"Queens' College, Cambridge",
Seema Malhotra,1972-08-07,Labour Co-operative,University of Warwick,50.8
Siobhain McDonagh,1960-02-20,Labour,University of Essex,63.3
John McDonnell,1951-09-08,Labour,Brunel University,71.8
James Murray,1983-07-13,Labour and Co-operative,"Wadham College, Oxford",39.9
Bob Neill,1952-06-24,Leader of the Conservative Party,London School of Economics,71.0
Matthew Offord,1969-09-03,Conservative,Nottingham Trent University,53.8
Sarah Olney,1977-01-11,Liberal Democrats,,46.4
Abena Oppong-Asare,1983-02-08,Labour,University of Kent,40.3
Kate Osamor,1968-08-15,Labour Co-operative,University of East London,54.8
Matthew Pennycook,1982-10-29,Labour,London School of Economics,40.6
Chris Philp,1976-07-06,Conservative,"University College, Oxford",46.9
Steve Reed,1963-11-12,Labour and Co-operative,University of Sheffield,59.6
Ellie Reeves,1980-12-11,Labour,"St Catherine's College, Oxford",42.5
Bell Ribeiro-Addy,1985-03-01,Labour,University of Bradford,38.3
Andrew Rosindell,1966-03-17,Conservative,,57.2
Paul Scully,1968-04-29,"Parliamentary Under-Secretary of State for Small Business, Consumers and Labour Markets",University of Reading,55.1
Virendra Sharma,1947-04-05,Labour,London School of Economics,76.2
Tulip Siddiq,1982-09-16,Labour,University College London,40.7
David Simmonds,,Conservative,Durham University,
Andy Slaughter,1960-09-29,Labour,University of Exeter,62.7
Keir Starmer,1962-09-02,Leader of the Labour Party,Guildhall School of Music and Drama,60.8
Bob Stewart,1949-07-07,Conservative,,73.9
Wes Streeting,1983-01-21,Labour,"Selwyn College, Cambridge",40.4
Sam Tarry,1982-08-27,Labour,,40.8
Gareth Thomas,1967-07-15,Co-operative Party,Aberystwyth University,55.9
Emily Thornberry,1960-07-27,Labour,University of Kent,62.9
Stephen Timms,1955-07-29,Labour,"Emmanuel College, Cambridge",67.9
Theresa Villiers,1968-03-05,Conservative,University of Bristol,55.3
Catherine West,1966-09-14,Labour Party,University of Sydney,56.7
Munira Wilson,1978-04-26,Liberal Democrat,"St Catharine's College, Cambridge",45.1
Nick Brown,1950-06-13,Deputy Government Chief Whip,University of Manchester,73.0
Alan Campbell,1957-07-08,Opposition Chief Whip,Lancaster University,65.9
Simon Clarke,1984-09-28,Conservative,"University College, Oxford",38.7
Alex Cunningham,1955-05-01,Labour,,68.1
Dehenna Davison,1993-07-27,Conservative,University of Hull,29.8
Julie Elliott,1963-07-29,Labour,,59.9
Mary Kelly Foy,1968-02-27,Labour,,55.3
Peter Gibson,1975-05-22,Conservative,Newcastle University,48.0
Mary Glindon,1957-01-13,Labour,Northumbria University,66.4
Sharon Hodgson,1966-04-01,Labour,,57.2
Richard Holden,1985-03-11,Conservative,London School of Economics,38.2
Paul Howell,1960-01-10,Conservative,,63.4
Kevan Jones,1964-04-25,Labour,University of Southern Maine,59.1
Ian Lavery,1963-01-06,Chair of the Labour Party,,60.4
Ian Levy,1966-02-14,Conservative,,57.3
Emma Lewell-Buck,1978-11-08,Labour,Northumbria University,44.6
Andy McDonald,1958-03-08,Labour,Leeds Polytechnic,65.3
Catherine McKinnell,1976-06-08,Doug Henderson,University of Edinburgh,47.0
Ian Mearns,1957-04-21,Labour,,66.1
Grahame Morris,1961-03-13,Labour,Newcastle Polytechnic,62.2
Jill Mortimer,1965-03-20,Conservative,Teesside University,58.2
Chi Onwurah,1965-04-12,Labour,Imperial College London,58.2
Guy Opperman,1965-05-18,Conservative,University of Buckingham,58.1
Kate Osborne,,Labour,,
Bridget Phillipson,1983-12-19,Labour,"Hertford College, Oxford",39.5
Anne-Marie Trevelyan,1969-04-06,Conservative,,54.2
Liz Twist,1956-07-10,Labour,Aberystwyth University,66.9
Matt Vickers,1983-09-24,Deputy Chairman of the Conservative Party,Teesside University,39.7
Jacob Young,1993-02-02,Conservative,Teesside University,30.3
Debbie Abrahams,1960-09-15,Labour,University of Salford,62.7
Mike Amesbury,1969-05-07,Labour,Bradford University,54.1
Paula Barker,1972-05-09,Labour,,51.1
Scott Benton,1987-07-01,Independent,University of Nottingham,35.9
Jake Berry,1978-12-29,Chairman of the Conservative Party,University of Sheffield,44.4
Graham Brady,1967-05-20,Conservative,Durham University,56.1
Sara Britcliffe,1995-02-21,Vice Chairman of the Conservative Party for Youth,University of Manchester,28.3
Fiona Bruce,1957-03-26,Conservative,Victoria University of Manchester,66.2
Ian Byrne,,Labour,Open University,
Dan Carden,1986-10-28,Labour,London School of Economics,36.6
Andy Carter,1974-01-25,Conservative,University of Leicester,49.4
Chris Clarkson,1982-11-12,Conservative,University of Dundee,40.6
Ashley Dalton,,Labour,Middlesex University,
James Daly,1980-03-19,Conservative,,43.2
Samantha Dixon,,Labour,University of Sheffield,
Peter Dowd,1957-06-20,Labour,University of Liverpool,66.0
Angela Eagle,1961-02-17,Labour,"St John's College, Oxford",62.3
Maria Eagle,1961-02-17,Labour,"Pembroke College, Oxford",62.3
Bill Esterson,1966-10-27,Labour,University of Leeds,56.6
Nigel Evans,1957-11-10,Conservative,Swansea University,65.6
Tim Farron,1970-05-27,Leader of the Liberal Democrats,Newcastle University,53.0
Simon Fell,1981-02-09,Conservative,University of Warwick,42.3
Katherine Fletcher,1976-02-18,Conservative,University of Nottingham,47.3
Yvonne Fovargue,1956-11-29,Labour,University of Leeds,66.5
Chris Green,1973-08-12,Conservative,,49.8
Margaret Greenwood,1959-03-14,Labour,,64.2
James Grundy,1978-12-08,Conservative,,44.5
Andrew Gwynne,1974-06-04,Labour Party Co-National Campaign Coordinator,Wrexham Glyndŵr University,49.0
Trudy Harrison,1976-04-19,Conservative,University of Salford,47.1
Antony Higginbotham,1989-12-16,Conservative,University of Hull,33.5
Mark Hendrick,1958-11-02,Labour Co-op,Liverpool John Moores University,64.6
Kate Hollern,1955-04-12,Labour,,68.2
George Howarth,1949-06-29,Labour,University of Salford,74.0
Lindsay Hoyle,1957-06-10,Labour,,66.0
Neil Hudson,,Conservative,University of Cambridge,
Mark Jenkinson,1982-01-28,Conservative,,41.3
Kim Johnson,1966-08-25,Labour,,56.8
Mike Kane,1969-01-09,Labour,Manchester Metropolitan University,54.4
Barbara Keeley,1952-03-26,Labour,University of Salford,71.2
Afzal Khan,1958-04-05,Labour Party,,65.2
Tony Lloyd,1950-02-25,Chair of the Parliamentary Labour Party,University of Nottingham,73.3
Mark Logan,1984-01-28,Conservative,Queen's University Belfast,39.3
Rebecca Long-Bailey,1979-09-22,Labour,Manchester Metropolitan University,43.7
Justin Madders,1972-11-22,Labour,University of Sheffield,50.5
Paul Maynard,1975-12-16,Conservative,"University College, Oxford",47.5
Conor McGinn,1984-07-31,Labour Party Deputy National Campaign Coordinator,London Metropolitan University,38.8
Alison McGovern,1980-12-30,Labour,University College London,42.4
Jim McMahon,1980-07-07,Co-operative Party,,42.9
Esther McVey,1967-10-24,Conservative,"Queen Mary, University of London",55.6
Mark Menzies,1971-05-18,Conservative,University of Glasgow,52.1
Navendu Mishra,1989-08-22,Labour,,33.8
Damien Moore,1980-04-26,Conservative,University of Central Lancashire,43.1
David Morris,1966-01-03,Conservative,,57.4
Kieran Mullan,1984-06-06,Conservative,,39.0
Lisa Nandy,1979-08-09,Labour,Newcastle University,43.8
Charlotte Nichols,1991-04-05,Labour,University of Liverpool,32.2
Lucy Powell,1974-10-10,Labour and Co-operative,"Somerville College, Oxford",48.7
Yasmin Qureshi,1963-07-05,Labour,University College London,59.9
Angela Rayner,1980-03-28,Deputy Leader of the Labour Party,,43.2
Jonathan Reynolds,1980-08-28,Labour and Co-operative,University of Manchester,42.8
Marie Rimmer,1947-04-27,Labour,,76.1
Mary Robinson,1955-08-23,Conservative,,67.8
David Rutley,1961-03-07,Conservative,London School of Economics,62.3
Cat Smith,1985-06-16,Labour,Lancaster University,38.0
Jeff Smith,1963-01-26,Labour,University of Manchester,60.4
Andrew Stephenson,1981-02-17,Chairman of the Conservative Party,"Royal Holloway, University of London",42.3
John Stevenson,1963-07-04,Conservative,University of Dundee,59.9
Graham Stringer,1950-02-17,Labour,University of Sheffield,73.3
Edward Timpson,1973-12-26,Conservative,Durham University,49.4
Derek Twigg,1959-07-09,Labour,,63.9
Christian Wakeford,1984-11-09,Labour,Lancaster University,38.6
Ben Wallace,1970-05-15,Conservative,,53.1
Andrew Western,1985-03-18,Labour,University of Sheffield,38.2
Mick Whitley,1951-11-17,Labour,,71.6
William Wragg,1987-12-11,Conservative,University of Manchester,35.5
Adam Afriyie,1965-08-04,Conservative,,57.8
Caroline Ansell,1971-01-12,Conservative,University of Sussex,52.4
Steve Baker,1971-06-06,Conservative,University of Southampton,52.0
Paul Beresford,1946-04-06,Geraint Davies,University of Otago,77.2
Crispin Blunt,1960-07-15,Conservative,"University College, Durham",62.9
Peter Bottomley,1944-07-30,Conservative,"Trinity College, Cambridge",78.9
Steve Brine,1974-01-28,Conservative,Liverpool Hope University,49.4
Rob Butler,1967-06-19,Conservative,University of Sheffield,56.0
Maria Caulfield,1973-08-06,Vice Chairman of the Conservative Party for Women,,49.8
Rehman Chishti,1978-10-04,Conservative Party,Aberystwyth University,44.7
Greg Clark,1967-08-28,Conservative,"Magdalene College, Cambridge",55.8
Damian Collins,1974-02-04,Conservative,"St Benet's Hall, Oxford",49.3
Robert Courts,1978-10-21,Conservative,University of Sheffield,44.6
Claire Coutinho,1985-07-08,Conservative,"Exeter College, Oxford",37.9
Tracey Crouch,1975-07-24,Conservative,University of Hull,47.9
Mims Davies,1975-06-02,Conservative,Swansea University,48.0
Tanmanjeet Singh Dhesi,1978-08-17,Labour,University College London,44.8
The Lady Lancaster of Kimbolton,1971-10-28,Conservative,Swansea University,51.6
Leo Docherty,1976-10-04,Conservative,"SOAS, University of London",46.7
Anneliese Dodds,1978-03-16,Chair of the Labour Party,"St. Hilda's College, Oxford",45.2
Flick Drummond,1962-06-16,Conservative,University of Hull,61.0
Rosie Duffield,1971-07-01,Chief Whip,,51.9
Natalie Elphicke,1970-11-05,Conservative,University of Kent,52.6
Ben Everitt,1979-11-22,Conservative,,43.5
Laura Farris,1978-06-13,Conservative,"Lady Margaret Hall, Oxford",45.0
Suella Braverman,1980-04-03,Party Leader,"Queens' College, Cambridge",43.2
Sir Roger Gale,,Conservative,Guildhall School of Music and Drama,
Nusrat Ghani,1972-09-01,Conservative,Birmingham City University,50.8
Nick Gibb,1960-09-03,Conservative,University of Durham,62.8
Michael Gove,1967-08-26,Conservative,"Lady Margaret Hall, Oxford",55.8
Helen Grant,1961-09-28,Conservative,University of Hull,61.7
Chris Grayling,1962-04-01,Conservative,"Sidney Sussex College, Cambridge",61.2
Damian Green,1956-01-17,One Nation Conservatives Caucus,"Balliol College, Oxford",67.4
Sarah Green,1982-04-25,Liberal Democrats,Aberystwyth University,41.1
Andrew Griffith,1971-02-23,Richard Fuller,University of Nottingham,52.3
Sally-Ann Hart,1968-03-06,Conservative,,55.3
Gordon Henderson,1948-01-27,Conservative,,75.4
Damian Hinds,1969-11-27,Conservative,"Trinity College, Oxford",53.5
Adam Holloway,1965-07-29,Conservative,"Magdalene College, Cambridge",57.9
Paul Holmes,1988-08-25,Conservative,University of Southampton,34.8
John Howell,1955-07-27,Conservative,University of Edinburgh,67.9
Jeremy Hunt,1966-11-01,Conservative,"Magdalen College, Oxford",56.6
Ranil Jayawardena,1986-09-03,Deputy Chairman of the Conservative Party,London School of Economics,36.7
Gareth Johnson,1969-10-12,Conservative,The College of Law,53.7
David Johnston,1981-11-27,Conservative,"Balliol College, Oxford",41.5
Gillian Keegan,1968-03-13,Conservative,Liverpool John Moores University,55.2
Kwasi Kwarteng,1975-05-26,Conservative,"Trinity College, Cambridge",48.0
Peter Kyle,1970-09-09,Labour,University of Sussex,52.7
Julian Lewis,1951-09-26,Conservative,"Balliol College, Oxford",71.7
Jonathan Lord,1962-09-17,Conservative,"Merton College, Oxford",60.7
Tim Loughton,1962-05-30,Conservative,University of Warwick,61.0
Caroline Lucas,1960-12-09,Leader of the Green Party of England and Wales,University of Exeter,62.5
Craig Mackinlay,1966-10-07,Deputy Leader of the UK Independence Party,University of Birmingham,56.7
Alan Mak,1983-11-19,Conservative,"Peterhouse, Cambridge",39.5
Kit Malthouse,1966-10-27,Conservative,Newcastle University,56.6
Theresa May,1956-10-01,Leader of the Conservative Party,"St Hugh's College, Oxford",66.7
Huw Merriman,1973-07-13,Conservative,"University College, University of Durham",49.9
Maria Miller,1964-03-26,Conservative,London School of Economics,59.2
Layla Moran,1982-09-12,Liberal Democrats,Imperial College London,40.7
Penny Mordaunt,1973-03-04,Conservative,University of Reading,50.3
Stephen Morgan,1981-01-17,Labour,University of Bristol,42.4
Joy Morrissey,1981-01-30,Conservative,London School of Economics,42.3
Caroline Nokes,1972-06-26,Conservative,University of Sussex,50.9
Victoria Prentis,1971-03-24,Conservative,"Royal Holloway, University of London",52.2
Jeremy Quin,1968-09-24,Conservative,"Hertford College, Oxford",54.7
Dominic Raab,1974-02-25,Conservative,"Lady Margaret Hall, Oxford",49.3
John Redwood,1951-06-15,Conservative,"Magdalen College, Oxford",72.0
Angela Richardson,1974-10-21,Conservative,,48.6
Matt Rodda,1966-12-15,Labour,University of Sussex,56.5
Lloyd Russell-Moyle,1986-09-14,Labour Co-op,University of Bradford,36.7
Robert Seely,1966-06-01,Conservative,,57.0
Alok Sharma,1967-09-07,Conservative,University of Salford,55.7
Greg Smith,1979-03-03,Conservative,University of Birmingham,44.3
Henry Smith,1969-05-14,Conservative Party,University College London,54.1
Royston Smith,1964-05-13,Conservative,,59.1
Ben Spencer,1981-12-11,Conservative,,41.5
Iain Stewart,1972-09-18,Conservative,Exeter University,50.7
James Sunderland,1970-06-06,Conservative,,53.0
Desmond Swayne,1956-08-20,Conservative,University of St Andrews,66.8
Kelly Tolhurst,1978-08-23,Conservative,,44.8
Laura Trott,1984-12-07,Conservative,"Pembroke College, Oxford",38.5
Tom Tugendhat,1973-06-27,Conservative,University of Bristol,49.9
Alan Whitehead,1950-09-15,James Hill,University of Southampton,72.7
Helen Whately,1976-06-23,Deputy Chair of the Conservative Party,"Lady Margaret Hall, Oxford",46.9
Siobhan Baillie,1981-08-28,Conservative,,41.8
Ben Bradshaw,1960-08-30,Labour,University of Sussex,62.8
Robert Buckland,1968-09-22,Conservative,Durham University,54.7
Conor Burns,1972-09-24,Conservative,University of Southampton,50.7
Alex Chalk,1976-08-08,Conservative,"Magdalen College, Oxford",46.8
Christopher Chope,1947-05-19,Conservative,University of St Andrews,76.1
Geoffrey Clifton-Brown,1953-03-23,Conservative,Royal Agricultural College,70.2
Geoffrey Cox,1960-04-30,Conservative,"Downing College, Cambridge",63.1
Thangam Debbonaire,1966-08-03,Labour,University of Oxford,56.8
Michelle Donelan,1984-04-08,Conservative,University of York,39.2
Steve Double,1966-12-19,Conservative,,56.5
Richard Drax,1958-01-29,Conservative,Royal Agricultural College,65.4
Tobias Ellwood,1966-08-12,Conservative,Loughborough University,56.8
George Eustice,1971-09-28,Conservative,,51.7
Richard Foord,1978-02-13,Liberal Democrats,"Royal Holloway, University of London",45.3
Kevin Foster,1978-12-31,Conservative,University of Warwick,44.4
Liam Fox,1961-09-22,Chairman of the Conservative Party,University of Glasgow,61.7
Marcus Fysh,1970-11-08,Conservative,"Corpus Christi College, Oxford",52.6
John Glen,1974-04-01,Richard Fuller,"Mansfield College, Oxford",49.2
Richard Graham,1958-04-04,Conservative,"Christ Church, Oxford",65.2
James Gray,1954-11-07,Conservative,University of Glasgow,68.6
Luke Hall,1986-07-08,Conservative,,36.9
Mark Harper,1970-02-26,Conservative,"Brasenose College, Oxford",53.3
James Heappey,1981-01-30,Conservative,University of Birmingham,42.3
Simon Hoare,1969-06-28,Conservative,"Greyfriars, Oxford",53.9
Wera Hobhouse,1960-02-08,Liberal Democrats,University of Münster,63.3
Darren Jones,1986-11-13,Labour,University of Plymouth,36.6
Simon Jupp,1985-09-08,Conservative,,37.7
Danny Kruger,1974-10-23,Conservative,University of Edinburgh,48.6
Ian Liddell-Grainger,1959-02-23,Conservative,,64.3
Chris Loder,1981-09-05,Conservative,,41.7
Jack Lopresti,1969-08-23,Conservative,,53.8
Cherilyn Mackrory,1976-06-05,Conservative,,47.0
Anthony Mangnall,1989-08-12,Conservative,University of Exeter,33.8
Scott Mann,1977-06-24,Conservative,,45.9
Kerry McCarthy,1965-03-26,Labour,University of Liverpool,58.2
Johnny Mercer,1981-08-17,Conservative,,41.8
Anne Marie Morris,1957-07-05,Conservative,"Hertford College, Oxford",65.9
Sheryll Murray,1956-02-04,Conservative,,67.3
Andrew Murrison,1961-04-24,Conservative,University of Bristol,62.1
John Penrose,1964-06-22,Conservative,"Downing College, Cambridge",59.0
Luke Pollard,1980-04-10,Labour and Co-operative,University of Exeter,43.1
Rebecca Pow,1960-10-10,Conservative,,62.7
Jacob Rees-Mogg,1969-05-24,Party Leader,"Trinity College, Oxford",54.0
Laurence Robertson,1958-03-29,Conservative,Bolton Institute of Higher Education,65.2
Selaine Saxby,1970-11-25,Conservative,"Magdalene College, Cambridge",52.5
Chris Skidmore,1981-05-17,Conservative,"Christ Church, Oxford",42.0
Karin Smyth,1964-09-08,Labour,University of East Anglia,58.7
Gary Streeter,1955-10-02,Conservative,,67.7
Mel Stride,1961-09-30,Conservative,"St Edmund Hall, Oxford",61.7
Sir Robert Syms,1956-08-15,Conservative,,66.8
Derek Thomas,1972-07-20,Conservative,,50.9
Justin Tomlinson,1976-11-05,Deputy Chairman of the Conservative Party,Oxford Brookes,46.6
Michael Tomlinson,1977-10-01,Conservative,,45.7
David Warburton,1965-10-28,Conservative,,57.6
Tahir Ali,1971-10-15,Labour,,51.6
Lucy Allan,1964-10-02,Conservative,Durham University,58.7
Stuart Anderson,1976-07-17,Conservative,,46.9
Shaun Bailey,1992-07-22,Conservative,Aberystwyth University,30.9
Harriett Baldwin,1960-05-02,Conservative,"Lady Margaret Hall, Oxford",63.1
Aaron Bell,1980-02-25,Conservative,"St. John's College, Oxford",43.3
