name,birth date
Dimitri Bunzmann?action=edit&redlink=1,
Twan Burg?action=edit&redlink=1,
John M. Burke,2001-07
Vladimir Burmakin,1967-06-06
Algimantas Butnorius,1946-02-20
Anatoly Bykhovsky,1988-11-19
Avigdor Bykhovsky?action=edit&redlink=1,
Robert Byrne (chess player),1928-04-20
Alexis Cabrera (chess player)?action=edit&redlink=1,
Goran Čabrilo,1958-07-01
Daniel Cámpora,1957-06-30
Javier Campos Moreno?action=edit&redlink=1,
Emre Can (chess player),1990-01-21
Esteban Canal,1896-04-19
Cao Sang?action=edit&redlink=1,
Jose Gabriel Cardoso Cardoso?action=edit&redlink=1,
Magnus Carlsen,1990-11-30
Pontus Carlsson,1982-12-18
Fabiano Caruana,1992-07-30
Israel Caspi?action=edit&redlink=1,
Georgui Castañeda?action=edit&redlink=1,
Mišo Cebalo,1945-02-06
Jean-Luc Chabanon?action=edit&redlink=1,
Nikolai Chadaev?action=edit&redlink=1,
Sandipan Chanda,1983-08-13
Murray Chandler,1960-04-04
Akshat Chandra,1999-05-28
Pascal Charbonneau,1983-05-06
Aliaksei Charnushevich,1978-12-18
Boris Chatalbashev,1974-01-30
Nicolas Checa,2001-12-19
Valery Chekhov,1955-11-27
Bobby Cheng,1997-03-20
Ivan Cheparinov,1986-11-26
Alexander Cherniaev?action=edit&redlink=1,
Oleg Chernikov?action=edit&redlink=1,
Alexander Chernin,
Artem Chernobay?action=edit&redlink=1,
Konstantin Chernyshov,1967-06-11
Artur Chibukhchian?action=edit&redlink=1,
Maia Chiburdanidze,1961-01-17
Maksim Chigaev,1996-11-07
Ioan-Cristian Chirilă,1991-01-06
Johan-Sebastian Christiansen,1998-06-10
Larry Christiansen,1956-06-27
Vladimir Chuchelov,1969-09-28
Dmitry Chuprov?action=edit&redlink=1,
Slavko Cicak,1969-10-25
Roberto Cifuentes Parada,1957-12-21
Victor Ciocâltea,1932-01-16
Dragoljub Čirić,1935-11-12
Viktorija Čmilytė,1983-08-06
Aleksandar Colovic,
Lluis Comas Fabregó?action=edit&redlink=1,
Stuart Conquest,1967-03-01
Emilio Córdova,1991-07-08
Jorge Cori,1995-07-30
Kevin Joel Cori Quispe?action=edit&redlink=1,
Matthieu Cornette,1985-09-04
Fidel Corrales Jimenez,1987-07-07
Pia Cramling,1963-04-23
Cristhian Cruz Sánchez,1992-02-07
István Csom,1940-06-02
Jaime Alexander Cuartas?action=edit&redlink=1,
José Fernando Cubas?action=edit&redlink=1,
José Cuenca Jiménez?action=edit&redlink=1,
Robert Cvek?action=edit&redlink=1,
Ognjen Cvitan,1961-10-10
Łukasz Cyborowski,1980-06-21
Paweł Czarnota,1988-04-14
Attila Czebe?action=edit&redlink=1,
Balaji Daggupati,
Changren Dai?action=edit&redlink=1,
Arthur Dake,1910-04-08
Martijn Dambacher?action=edit&redlink=1,
Mato Damjanović,1927-03-23
Branko Damljanović,1961-06-17
Bardiya Daneshvar?action=edit&redlink=1,
Elina Danielian,1978-08-16
Oganes Danielian,1974-01-03
Henrik Danielsen,1966-01-23
Alexandre Danin?action=edit&redlink=1,
Đào Thiên Hải,1978-05-10
Daniel Dardha,2005-10
Klaus Darga,1934-02-24
Pouria Darini,1991-01-24
Sayantan Das,1997-04-08
Batuhan Daştan,1997-08-07
Rustem Dautov,1965-11-28
Alberto David,1970-03-26
Nigel Davies (chess player),1960-07-31
Dennis de Vreugt,1980-11-04
Bogdan-Daniel Deac,2001-10-08
Debashis Das?action=edit&redlink=1,
J. Deepan Chakkravarthy,1987-06-03
Nick de Firmian,1957-07-26
Jean-Marc Degraeve,1971-01-26
Frank De La Paz Perdomo,1975-05-24
Oscar De La Riva Aguado?action=edit&redlink=1,
Jesús de la Villa,1958-06-30
Aleksander Delchev,1971-07-15
Neuris Delgado Ramírez,1981-09-17
Axel Delorme?action=edit&redlink=1,
Gabriel del Río,1976-10-02
Péter Dely,1934-07-05
Anton Demchenko,1987-08-20
Mikhail Demidov?action=edit&redlink=1,
Adrien Demuth,1991-04-14
Arnold Denker,1914-02-21
Erald Dervishi,1979-11-10
Andrei Deviatkin,1980-10-07
Alexandre Dgebuadze,1971-05-21
André Diamant,1990-02-09
Andreas Diermair,
Jesús Díez del Corral,1933-04-06
Radoslav Dimitrov (chess player)?action=edit&redlink=1,
Vladimir Dimitrov (chess player),1968-04-11
Ding Liren,1992-10-24
Goran Dizdar?action=edit&redlink=1,
Emir Dizdarević,1958-04-02
Nikola Djukić?action=edit&redlink=1,
Rune Djurhuus,1970-01-25
Stefan Djurić?action=edit&redlink=1,
Maxim Dlugy,1966-01-29
Vladimir Dobrov,
Yury Dokhoian,
Sergey Dolmatov,1959-02-20
Leinier Domínguez Pérez,1983-09-23
Sergey Domogaev?action=edit&redlink=1,
Alexander Donchenko,1998-03-22
Dimitar Donchev?action=edit&redlink=1,
Jan Hein Donner,1927-07-06
Josif Dorfman,
Fabian Doettling,1980-08-04
Jonathan Dourerassou?action=edit&redlink=1,
Valentin Dragnev,1999-03-05
Kamil Dragun,1995-06-25
Milan Draško?action=edit&redlink=1,
Luka Drašković,1995-09-20
Siniša Dražić?action=edit&redlink=1,
Alexey Dreev,1969-01-30
Petar Drenchev,1977-04-25
Harika Dronavalli,1991-01-12
Yuri Drozdovskij,
Andrey Drygalov?action=edit&redlink=1,
Sergey Drygalov?action=edit&redlink=1,
Daniil Dubov,1996-04-18
Jan-Krzysztof Duda,1998-04-26
Vasif Durarbayli,1992-02-24
Oldřich Duras,
Danyyil Dvirnyy,1990-10-21
Semen Dvoirys,1958-11-02
Sergej Dyachkov?action=edit&redlink=1,
Viacheslav Dydyshko,1949-04-10
Nana Dzagnidze,1987-01-01
Dzhakay Dzhakaev?action=edit&redlink=1,
Marat Dzhumaev,1976-01-12
Roman Dzindzichashvili,1944-05-05
Marcin Dziuba,1983-07-17
Romain Édouard,1990-11-28
Zahar Efimenko,1985-07-03
Igor Efimov (chess player)?action=edit&redlink=1,
Jaan Ehlvest,1962-10-14
Vereslav Eingorn,1956-11-23
Felipe de Cresce El Debs,1985-01-29
Essam El Gindy,1966-07-14
Urii Eliseev,
Erich Eliskases,1913-02-15
Pavel Eljanov,1983-05-10
John Emms (chess player),1967-03-14
Ivajlo Enchev?action=edit&redlink=1,
Peter Enders?action=edit&redlink=1,
Luis Engel,2002-10-14
Vladimir Epishin,1965-07-11
Mert Erdoğdu,1979-03-30
Viktor Erdős,1987-09-02
Sergey Erenburg,
Arjun Erigaisi,2003-09-03
Evgenij Ermenkov,1949-09-29
Sipke Ernst,1979-01-08
Thomas Ernst (chess player)?action=edit&redlink=1,
Volodymyr Eryomenko?action=edit&redlink=1,
Alder Escobar Forero,1977-03-11
Barış Esen,1986-11-03
Andrey Esipenko,2002-03-22
Lutz Espig,1949-01-05
Ermes Espinosa Veloz,1987-07-30
Max Euwe,1901-05-20
Larry Evans (chess player),1932-03-22
Alexander Evdokimov,1985-10-28
Fang Yuxiang?action=edit&redlink=1,
Iván Faragó,1946-04-01
François Fargère?action=edit&redlink=1,
Adham Fawzy,
Sergey Fedorchuk,1981-03-14
Alexei Fedorov,1972-09-27
John Fedorowicz,1958-09-27
Vladimir Fedoseev,1995-02-16
Rubén Felgaer,1981-04-04
Sébastien Feller,1991-03-11
Nenad Ferčec?action=edit&redlink=1,
António Fernandes (chess player),
José Luís Fernández García?action=edit&redlink=1,
Ernesto Fernández Romero?action=edit&redlink=1,
Daniel Fernandez (American chess player),1985-05-09
Daniel Fernandez (chess player),1995-03-05
Jorge Viterbo Ferreira?action=edit&redlink=1,
Michael Feygin?action=edit&redlink=1,
Alexandr Fier,1988-03-11
Miroslav Filip,1928-10-27
Anton Filippov,1986-12-06
Valerij Filippov,1975-11-28
Reuben Fine,1914-10-11
Ben Finegold,1969-09-06
Alexander Finkel?action=edit&redlink=1,
Burak Fırat,1993-01-01
Nazar Firman?action=edit&redlink=1,
Alireza Firouzja,2003-06-18
Bobby Fischer,1943-03-09
Gennadij Fish?action=edit&redlink=1,
Alexander Fishbein,1968-05-08
Glenn Flear,1959-02-12
János Flesch,
Salo Flohr,1908-11-21
Gabriel Flom?action=edit&redlink=1,
Mauricio Flores Ríos,1990-09-10
Diego Flores (chess player),1982-12-18
András Flumbort?action=edit&redlink=1,
Tamas Fodor Jr.?action=edit&redlink=1,
Tibor Fogarasi?action=edit&redlink=1,
Alexander Fominyh?action=edit&redlink=1,
Robert Fontaine,1980-11-18
Daniel Forcén Esteban?action=edit&redlink=1,
Győző Forintos,1935-07-30
Zenón Franco Ocampos,1956-05-12
Laurent Fressinet,1981-11-30
Daniel Fridman,1976-02-15
Joshua Friedel,1986-12-03
Dmitry Frolyanov?action=edit&redlink=1,
Ľubomír Ftáčnik,1957-10-30
Andrija Fuderer,1931-05-13
Semyon Furman,
Christian Gabriel,1975-03-03
Artur Gabrielian,1982-12-26
Hovhannes Gabuzyan,1995-05-19
Abdulla Gadimbayli,2002-01-02
Shardul Gagare,1997-09-02
Merab Gagunashvili,1985-01-03
Grzegorz Gajewski,1985-07-19
Sergey Galdunts,1965-01-17
Luís Galego,
Andres Felipe Gallego Alcaraz?action=edit&redlink=1,
Aleksandr Galkin (chess player),
Joseph Gallagher,1964-05-04
Platon Galperin?action=edit&redlink=1,
Surya Shekhar Ganguly,1983-02-24
Gao Rui,1992-05-20
Nona Gaprindashvili,1941-05-03
Valeriane Gaprindashvili,1982-01-16
Gildardo García,1954-03-09
Guillermo García González,
David García Ilundáin,1971-04-02
Silvino García Martínez,1944-07-04
Carlos Garcia Palermo,
Roberto Garcia Pantoja?action=edit&redlink=1,
Timur Gareyev,1988-03-03
Eldar Gasanov,1982-09-26
José Rafael Gascón Del Nogal?action=edit&redlink=1,
Vugar Gashimov,1986-07-24
Einar Gausel,1963-11-30
Viktor Gavrikov,1957-07-29
David Gavrilescu?action=edit&redlink=1,
Alexei Gavrilov (chess player)?action=edit&redlink=1,
Aram Gazarian?action=edit&redlink=1,
Viktor Gazik,2001-12-13
Jacek Gdański,1970-11-30
Tamaz Gelashvili,1978-04-08
Boris Gelfand,1968-06-24
Efim Geller,1925-03-08
Jakov Geller?action=edit&redlink=1,
Petar Genov,1970-04-05
Tiberiu-Marian Georgescu,
Nico Georgiadis,1996-01-22
Kiril Georgiev,1965-11-28
Krum Georgiev,
Vladimir Georgiev (chess player),
Alik Gershon,1980-06-03
Ehsan Ghaem Maghami,1982-08-11
Shojaat Ghane,1975-03-30
Tigran Gharamian,1984-07-24
Florin Gheorghiu,1944-04-06
Theodor Ghițescu,
Aryan Gholami?action=edit&redlink=1,
Diptayan Ghosh,1998-08-10
Alfredo Giaccio?action=edit&redlink=1,
Pedro Antonio Gines Esteo?action=edit&redlink=1,
Gennadij Ginsburg?action=edit&redlink=1,
Giorgi Giorgadze,1964-10-10
Tamaz Giorgadze?action=edit&redlink=1,
Aivars Gipslis,1937-02-08
Anish Giri,1994-06-28
A. Koushik Girish?action=edit&redlink=1,
Olga Girya,1991-06-04
Benjámin Gledura,1999-07-04
Evgeny Gleizerov,1963-03-20
Igor Glek,1961-11-07
Svetozar Gligorić,1923-02-02
Jakob Vang Glud?action=edit&redlink=1,
Michele Godena,1967-06-30
Leonid Gofshtein,
Aleksey Goganov,1991-07-26
Goh Wei Ming,1983-07-07
Alexander Goldin,1964-02-27
Asghar Golizadeh?action=edit&redlink=1,
Vitali Golod,1971-06-23
Harry Golombek,1911-03-01
Alexander Goloshchapov,1978-01-25
Mikhail Golubev,1970-05-30
Petro Golubka?action=edit&redlink=1,
Juan Mario Gomez Esteban?action=edit&redlink=1,
Camilo Ernesto Gomez Garrido?action=edit&redlink=1,
John Paul Gomez,1986-05-23
László Gonda?action=edit&redlink=1,
Jayson Gonzales,1969-05-02
Renier Gonzalez,1972-11-21
Bernal González Acosta?action=edit&redlink=1,
José González García,1973-08-12
Yuri González Vidal,1981-01-12
Juan Carlos González Zamora,
Arian González Pérez,
Geetha Narayanan Gopal,1989-03-29
Dmitry Gordievsky,1996-04-24
Stephen J. Gordon,1986-09-04
Daniel Gormally,1976-05-04
Andrey Gorovets?action=edit&redlink=1,
Eduard Gorovykh?action=edit&redlink=1,
Ido Gorshtein?action=edit&redlink=1,
Aleksandra Goryachkina,1998-09-28
Yannick Gozzoli,1983-06-02
Mirosław Grabarczyk,1971-01-03
Boris Grachev,1986-03-27
Alexander Graf,1962-08-25
Julio Granda Zúñiga,1967-02-25
Nils Grandelius,1993-06-03
Valery Grechikhin?action=edit&redlink=1,
Alon Greenfeld,1964-04-17
Helgi Grétarsson,1977-02-18
Hjörvar Steinn Grétarsson,1993-05-29
George-Gabriel Grigore?action=edit&redlink=1,
Sergey Grigoriants,1983-11-02
Grigor Grigorov?action=edit&redlink=1,
Avetik Grigoryan,1989-01-27
Karen H. Grigoryan,1995-02-25
Alexander Grischuk,1983-10-31
Orest Gritsak?action=edit&redlink=1,
Efstratios Grivas,1966-03-30
Attila Grószpéter,1960-06-09
Sahaj Grover,1995-09-07
Yehuda Gruenfeld,1956-02-28
Ernst Grünfeld,1893-11-21
Jose Angel Guerra Mendez?action=edit&redlink=1,
Eduard Gufeld,1936-03-19
Laurent Guidarelli?action=edit&redlink=1,
Carlos Guimard,1913-04-06
Vidit Gujrathi,1994-10-24
Gukesh D,2006-05-29
Sarhan Guliev,1968-04-01
Namig Guliyev,1974-02-13
Boris Gulko,1947-02-09
Szymon Gumularz,2001-12-22
Ruben Gunawan,
Bayarsaikhan Gundavaa?action=edit&redlink=1,
Valentina Gunina,1989-02-04
Abhijeet Gupta,1989-10-16
Dmitry Gurevich,1956-09-11
Ilya Gurevich,1972-02-08
Mikhail Gurevich (chess player),1959-02-22
Vladimir Gurevich?action=edit&redlink=1,
Bukhuti Gurgenidze,1933-11-13
Aidyn Guseinov,1957-08-31
Gadir Guseinov,1986-05-21
Jan Gustafsson,1979-06-25
Gennadi Gutman?action=edit&redlink=1,
Lev Gutman,1945-09-26
Andrey Gutov?action=edit&redlink=1,
Zoltan Gyimesi,1977-03-31
Petr Hába?action=edit&redlink=1,
Mohamed Haddouche,1984-08-19
Aram Hakobyan (chess player)?action=edit&redlink=1,
Stelios Halkias,1980-04-11
Aman Hambleton,1992-12-30
Hichem Hamdouchi,
Vladimir Hamițevici,1991-02-19
Jon Ludvig Hammer,1990-06-02
Florian Handke?action=edit&redlink=1,
Edhi Handoko,
Curt Hansen (chess player),1964-09-18
Eric Hansen (chess player),1992-05-24
Lars Bo Hansen?action=edit&redlink=1,
Sune Berg Hansen,1971-04-21
Torbjørn Ringdal Hansen,1979-03-01
Ronen Har-Zvi,1976-10-13
Ravi Haria,1999-02-07
Pentala Harikrishna,1986-05-10
Gevorg Harutjunyan,1981-05-07
Tigran Harutyunyan,1997-01-15
Ramil Hasangatin?action=edit&redlink=1,
Stewart Haslinger,1981-11-25
Thorsten Michael Haub?action=edit&redlink=1,
Arnaud Hauchard,1971-11-15
Lars Oskar Hauge,
Daniel Hausrath?action=edit&redlink=1,
Jonathan Hawkins,1983-05-01
Hovik Hayrapetyan,1990-02-15
Kıvanç Haznedaroğlu,1981-01-01
Mark Hebden,1958-02-15
Bartłomiej Heberla,1985-06-19
Hans-Joachim Hecht,1939-01-29
Jonny Hector,1964-02-13
Thies Heinemann?action=edit&redlink=1,
Andreas Heimann,1992-01-10
Ferdinand Hellers?action=edit&redlink=1,
Johan Hellsten,1975-12-25
Lance Henderson de La Fuente?action=edit&redlink=1,
Ron Henley (chess player),1956-12-05
Cristobal Henriquez Villagra,1996-08-07
Imre Héra Jr.?action=edit&redlink=1,
Holden Hernández Carmenate?action=edit&redlink=1,
Gilberto Hernández Guerrero,1970-02-04
Román Hernández Onna,1949-11-23
Herminio Herraiz Hidálgo?action=edit&redlink=1,
Irisberto Herrera,
Gerald Hertneck,1963-09-18
Abdelrahman Hesham,1992-12-02
Robert Hess (chess player),1991-12-19
Carlos Antonio Hevia Alejano?action=edit&redlink=1,
Jörg Hickl,1965-04-16
Tiger Hillarp Persson,1970-10-28
Himanshu Sharma (chess player)?action=edit&redlink=1,
Jóhann Hjartarson,1963-02-08
Hoàng Thanh Trang,1980-04-25
Julian Hodgson,1963-07-25
Alejandro Hoffman?action=edit&redlink=1,
Michael Hoffmann (chess player)?action=edit&redlink=1,
Carsten Høi,1957-01-16
Conrad Holt,1993-07-09
Frank Holzke?action=edit&redlink=1,
Károly Honfi,
Andrew Hong,2004-11-23
Vlastimil Hort,1944-01-12
Ádám Horváth,1981-07-14
Csaba Horváth (chess player),1968-06-05
József Horváth (chess player),1964-08-13
Péter Horváth (chess player)?action=edit&redlink=1,
Enamul Hossain,
Hou Yifan,1994-02-27
Mher Hovhannisyan?action=edit&redlink=1,
Robert Hovhannisyan,1991-03-23
David Howell (chess player),1990-11-14
James Howell (chess player),1967-05-17
Zbyněk Hráček,1970-09-09
Robert Hübner,1948-11-06
Mikel Huerga Leache?action=edit&redlink=1,
Krunoslav Hulak,1951-05-25
Robert Hungaski,1987-12-08
Niclas Huschenbeth,1992-02-29
Alexander Huzman,1962-04-10
Luís Fernando Ibarra Chami?action=edit&redlink=1,
José Carlos Ibarra Jeréz?action=edit&redlink=1,
Alibek Ibragimov?action=edit&redlink=1,
Ildar Ibragimov,1967-08-16
Rasul Ibrahimov,1981-08-13
Nurlan Ibrayev?action=edit&redlink=1,
Pouya Idani,1995-09-22
Vyacheslav Ikonnikov?action=edit&redlink=1,
Zlatko Ilinčić,1968-05-10
Artem Iljin?action=edit&redlink=1,
Ilia Iljiushenok,1993-08-16
Alexei Iljushin?action=edit&redlink=1,
Miguel Illescas,1965-12-03
Max Illingworth,1992-11-05
Ernesto Inarkiev,1985-12-09
Aleksandar Inđić,1995-08-24
P. Iniyan,2002-09-13
Ventzislav Inkiov,1956-05-19
Constantin Ionescu (chess player),1958-09-12
Sergey Ionov?action=edit&redlink=1,
Viorel Iordăchescu,1977-04-20
Valentin Iotov,1988-09-06
Alexander Ipatov,1993-07-16
Ruslan Irzhanov?action=edit&redlink=1,
Misratdin Iskandarov?action=edit&redlink=1,
Sergei Iskusnyh?action=edit&redlink=1,
Anuar Ismagambetov?action=edit&redlink=1,
Andrei Istrățescu,1975-12-03
Eduardo Iturrizaga,1989-11-01
Saidali Iuldachev,1968-01-31
Vasyl Ivanchuk,1969-03-18
Ivan Ivanišević,1977-11-23
Alexander Ivanov (chess player),1956-05-01
Alexander Alexandrovich Ivanov?action=edit&redlink=1,
Igor Ivanov (chess player),1947-01-08
Mikhail Ivanov (chess player)?action=edit&redlink=1,
Sergey Ivanov (chess player)?action=edit&redlink=1,
Božidar Ivanović,
Velimir Ivić,2002-08-27
Borislav Ivkov,1933-11-12
Félix Izeta Txabarri,1961-08-03
Salauat Izmukhambetov?action=edit&redlink=1,
Zviad Izoria,1984-01-06
Dragoljub Jacimović,1964-01-10
Brandon Jacobson,2003-11-14
Dmitry Jakovenko,1983-06-29
Artur Jakubiec,1973-12-03
